Абен
Аблен
Август
Августиан
Августин
Авел
Авер
Аверно
Авксентий
Аво
Авраам
Аврам
Аврели
Аврелий
Аврор
Агапи
Агапий
Агатопод
Агатопот
Агент
Аглай
Аглар
Агнен
Агнеш
Агоп
Агъци
Адалберт
Адам
Адеан
Аделин
Адем
Аднан
Адриан
Адриян
Айдемир
Акашия
Аксакусти
Аксидан
Албен
Алберт
Алдин
Алевандър
Алег
Алек
Алекзандриян
Алекзандър
Алеко
Алекс
Александриян
Александър
Алексей
Алекси
Алексо
Ален
Алжир
Али
Алипи
Алтай
Алтемир
Алтимир
Альоша
Амадеус
Амброзио
Анагности
Анани
Анастас
Анастаси
Анастасий
Анатол
Анатоли
Анатолий
Ангел
Ангелин
Ангелко
Ангеолая
Анджо
Андон
Андреа
Андреан
Андреас
Андрей
Андреян
Андриан
Андриян
Ане
Анелин
Анести
Анестисиан
Анжел
Анжо
Анибал
Аниел
Анимир
Анислав
Анко
Антани
Антим
Анто
Антоан
Антон
Антони
Антоний
Антонил
Антоним
Антонин
Антонио
Антош
Ануш
Анчо
Аню
Апостол
Апрам
Аргир
Арго
Аристотел
Аритон
Аркади
Аркадий
Арлин
Арман
Армен
Арнауд
Арнаут
Арон
Арсен
Арсени
Арсений
Арсо
Артем
Архангел
Арчи
Асасин
Асасинслав
Асасинтрон
Асен
Асиман
Аспарух
Ата
Атанас
Атила
Атом
Атомен
Ахим
Аце
Ачо
Багрян
Байко
Байл
Байо
Байчо
Балин
Балкан
Баломир
Балчо
Бальо
Банко
Бано
Банчо
Баньо
Баню
Баня
Бартоломил
Батак
Батил
Бахар
Бахни
Бахурин
Бачо
Башибозук
Баю
Баян
Бегуна
Бейхан
Белимир
Белин
Белислав
Бело
Беломир
Белослав
Белчо
Белян
Бенислав
Бенко
Бено
Беньо
Беримир
Берин
Берислав
Берия
Беро
Берослав
Бетина
Бетино
Бечо
Билян
Бинко
Биньо
Биню
Бисенти
Бисер
Благо
Благовест
Благой
Благомир
Благосвет
Блаже
Бог
Богдан
Богодраг
Богой
Боголюб
Богомил
Богорис
Богослав
Бодромир
Божан
Божидар
Божик
Божил
Божимир
Божин
Божинел
Божко
Божо
Божур
Боил
Боила
Бойко
Бойо
Бойчо
Болен
Болеслав
Боне
Бонислав
Бонко
Боно
Бончо
Бончук
Боньо
Боран
Борвил
Борен
Борик
Борил
Боримир
Борин
Борис
Борислав
Борко
Боромир
Борчо
Босилко
Босилчо
Боско
Бото
Ботьо
Боцко
Боцо
Бочка
Бочо
Бою
Боян
Бояр
Брайко
Бран
Брандан
Бранимир
Бранислав
Бранко
Братан
Братислав
Братой
Браян
Брено
Бригадир
Бриго
Бриз
Бронислав
Бруклин
Брунко
Бруно
Буда
Будимир
Будин
Будьони
Буран
Бурен
Бурян
Българ
Българиян
Бънчо
Бялко
Бянко
Вадим
Ваклин
Ваклуш
Вако
Вакрил
Вакрилен
Валентин
Валео
Валери
Валерий
Валиант
Валтер
Валчо
Ванаил
Вангел
Вандо
Ване
Ванислав
Ванко
Ванче
Ваньо
Ванюш
Ванюша
Варадин
Вардан
Вардар
Вартоломей
Варчо
Васил
Василен
Василий
Василин
Василиян
Василя
Васиян
Васко
Васо
Вато
Вацо
Вачко
Вего
Ведко
Ведрин
Вежен
Вейл
Веладин
Велемир
Вели
Велиан
Велиант
Велизар
Велик
Велико
Велимир
Велин
Велислав
Величко
Велиян
Велко
Велчо
Вельо
Вене
Венелин
Венец
Венеций
Венециян
Вениамин
Венислав
Венки
Венко
Венсан
Вентилатор
Венце
Венцезар
Венцеслав
Венци
Венцислав
Венцомир
Венчан
Верадин
Вергил
Вергин
Веримир
Верин
Верослав
Весел
Веселин
Весислав
Веско
Весо
Веспасиян
Ветко
Вечко
Вигалот
Виго
Виделин
Виден
Видин
Видол
Видослав
Видю
Викенти
Виктор
Вилдимир
Вилиан
Вилизар
Вилислав
Вилиян
Вилям
Винету
Винко
Вино
Винсънт
Винченцо
Виолет
Виолин
Висарион
Виталий
Витан
Витко
Витлян
Витомир
Витош
Вихрен
Вихрони
Вихър
Вичо
Виша
Вишан
Вишетин
Вишню
Влад
Владилен
Владимер
Владимир
Владин
Владинко
Владислав
Владиян
Владко
Влайко
Власо
Власомир
Властимир
Вовка
Вогил
Воин
Воймир
Войо
Войслав
Волен
Володя
Врабчо
Връбчо
Всевелод
Вул
Вулю
Въйко
Вълкадин
Вълкан
Вълко
Вълкодав
Въло
Вълчан
Вълчин
Вълчо
Вълчоян
Вълю
